StateCode,DistrictCode,BlockCode,GramPanchayatCode,Name
5,45,352,20604,ALAIE SUPYAL अलाई सुपयाल
5,45,352,20605,BABURIYA NAYAL बबुरिया नयाल
5,45,352,20606,BAMAN TILADI बामन तिलाड़ी
5,45,352,20607,BHAISIYA CHHANA भैसिया छाना
5,45,352,20608,BHETABARIYA भेटाबारिया
5,45,352,20609,BORDA बोर्डा
5,45,352,20610,BUNGA बुंगा
5,45,352,20611,CHANOLI चनौली
5,45,352,20612,CHHANI छानी
5,45,352,20613,DALAKOT डालाकोट
5,45,352,20614,DASHO दाशो
5,45,352,20615,DEWARA देवारा
5,45,352,20616,DHOL NAILEE ढोल नैली
5,45,352,20617,GHUNYOLI घुन्योली
5,45,352,20618,DIGOLI डिगोली
5,45,352,20619,DIYARI दीयारी
5,45,352,20620,DUNGERLEKH डुंगरलेख
5,45,352,20621,DUNGARI डूंगरी
5,45,352,20622,HARADA हराडा
5,45,352,20623,HATOLA हटोला
5,45,352,20624,JINGAL जिंगल
5,45,352,20625,JOGYUDA DALAKOT जोग्यूडा डालाकोट
5,45,352,20626,KALON कलोन
5,45,352,20627,KANCHULA कांचुला
5,45,352,20628,KHAKARIGOOTH खाकरीगूठ
5,45,352,20629,KHAS TILADI खास तिलाड़ी
5,45,352,20630,KUNJVERGAL कुंजवर्गल
5,45,352,20631,KUMOLI कुमोली
5,45,352,20632,KUNJ KIMOLA कुंज किमोला
5,45,352,20633,KUNJ RAOTADA कुंज राओताडा
5,45,352,20634,LIGUDTA लिगुड्टा
5,45,352,20635,NAYOLI न्योली
5,45,352,20636,NAINI नैनी
5,45,352,20637,NALI MALLI नाली मल्ली
5,45,352,20638,NALI TALLI नाली तल्ली
5,45,352,20639,NAUGAON नौगांव
5,45,352,20640,PALYOUN पलयौं
5,45,352,20641,PANDEY TOLI पांडे टोली
5,45,352,20642,PETSHAL पेटशाल
5,45,352,20643,PHABIYA फाबिया
5,45,352,20644,PUNA KOT पुना कोट
5,45,352,20645,SALLA सैला
5,45,352,20646,SALLA BHATKOT सल्ला भटकोट
5,45,352,20647,SALUDI सालुडी
5,45,352,20648,SEAL सील
5,45,352,20649,SIMKHALIYA सिमखलिया
5,45,352,20650,SUPAI सुपाई
5,45,352,20651,THIKLANA ठिकलाना
5,45,352,20652,TRINELI त्रिनेलि
5,45,353,20653,AMOLI अमौली
5,45,353,20654,BAGDWAR बागद्वार
5,45,353,20655,BAJAN बाजन
5,45,353,20656,BAMAN CHAOUNA बामन चौना
5,45,353,20657,BAMIYOLI बमियोली
5,45,353,20658,BELTI बेल्ती
5,45,353,20659,BASOOT बासूत
5,45,353,20660,BAULI बौंली
5,45,353,20661,BHANTI भंती
5,45,353,20662,BHASI KAFLANI भसी कफलानी
5,45,353,20663,BHAUNALI भौनाली
5,45,353,20665,BINAULI बिनौली
5,45,353,20666,BUDHAULI बुधौली
5,45,353,20667,BUNGANAURAR बंगनौरर
5,45,353,20668,CHANOLI चनौली
5,45,353,20669,CHONIYA चोंनिया
5,45,353,20670,CHORA चोरा
5,45,353,20671,CHOURA चौरा
5,45,353,20672,DADULI दादौली
5,45,353,20673,DAHAL दहल
5,45,353,20674,DALMODI दालमोडी
5,45,353,20675,DANGAR KHOLA डंगर खोला
5,45,353,20676,DANPOO डैनपू
5,45,353,20677,DHYOUNA द्यौना
5,45,353,20678,DHAMEDA धमेड़ा
5,45,353,20679,DHANOLI धनौली
5,45,353,20680,DHARAD धराड़
5,45,353,20681,DHUNGA ढूंगा
5,45,353,20682,DOLA डोला
5,45,353,20683,DUMNA डुमना
5,45,353,20684,FALSOUN फ़ालसून
5,45,353,20685,GAIRGAON गैरगांव
5,45,353,20686,GANGODA गंगोड़ा
5,45,353,20687,GHUGHUTI घुघूती
5,45,353,20688,GUJARGADI गुजरगढ़ी
5,45,353,20689,HARNOULI हरनौली
5,45,353,20690,HAUOOLI हौली
5,45,353,20691,INDA इंदा
5,45,353,20692,INALO इनालो
5,45,353,20693,JAINAL जैनल
5,45,353,20694,JAITHA जैथा
5,45,353,20695,JALALI जलाली
5,45,353,20696,JAMOLI जामोली
5,45,353,20697,JHARKOTE झारकोट
5,45,353,20698,KAMRAD कामराड
5,45,353,20699,KHADKHET खड़खेत
5,45,353,20700,KHANOLIYA खनोलिया
5,45,353,20701,KHARAK खड़क
5,45,353,20702,KHURORI खुरोरी
5,45,353,20703,KHURUDI खुरुदी
5,45,353,20704,KOT ASHWAL कोट अश्ववाल
5,45,353,20705,KOTYAG कोत्याग
5,45,353,20706,LOOKOT देखो
5,45,353,20707,MAHAR TANA महर ताना
5,45,353,20708,MASOU मासौ
5,45,353,20709,MATELA मटेला
5,45,353,20710,MAYOLI मयोली
5,45,353,20711,MEHAR NAIL मेहर नेल
5,45,353,20712,MOHANARI मोहनारी
